Fecha;Capacidad instalada MW;Generación GWh;Capacidad instalada renovable MW;Generación renovable GWH;Porcentaje renovable
2023;21.053;90.427;14.298;59.651;65,97%
2022;20.168;82.859;13.414;61.612;74,36%
2021;19.263;84.352;12.509;63.322;75,07%
2020;17.845;77.759;12.384;50.797;65,33%
2019;18.079;78.794;12.291;54.742;69,48%
2018;18.278;78.214;12.194;59.706;76,34%
2017;18.154;78.477;12.071;62.076;79,10%
2016;17.861;76.161;11.888;49.979;65,62%
2015;17.850;77.965;11.757;49.385;63,34%
2014;17.197;69.060;11.154;48.625;70,41%
2013;16.213;72.184;10.082;50.915;70,53%
2012;15.067;60.535;9.979;48.552;80,20%
2011;15.098;58.920;9.940;49.438;83,91%
2010;14.850;56.617;9.474;41.044;72,49%
2009;14.049;55.854;9.131;41.246;73,85%
2008;14.009;54.958;9.111;46.537;84,68%
2007;13.707;54.197;9.103;44.590;82,27%
2006;13.672;52.736;9.058;42.915;81,38%
2005;13.637;49.347;9.032;39.964;80,99%
2004;13.465;48.778;9.007;40.202;82,42%
2003;13.261;45.594;8.913;36.314;79,65%
2002;13.865;44.073;9.157;34.125;77,43%
2001;13.543;42.461;8.801;31.982;75,32%
2000;12.795;42.177;8.145;32.255;76,48%
1999;13.224;43.159;8.574;33.861;78,46%
1998;12.818;44.712;8.202;31.006;69,35%
1997;14.614;44.920;8.140;31.852;70,91%
1996;13.514;43.709;8.055;35.632;81,52%
1995;12.647;42.702;7.876;32.315;75,68%
1994;12.658;40.864;7.902;32.416;79,33%
1993;12.185;37.584;7.695;28.113;74,80%
1992;11.024;32.771;6.794;22.557;68,83%
1991;9.599;36.374;6.707;27.479;75,55%
1990;8.849;35.651;6.608;27.522;77,20%
1989;8.793;34.377;6.670;26.902;78,26%
1988;9.331;32.998;7.208;24.820;75,22%
1987;8.523;30.637;6.317;21.581;70,44%
1986;6.872;32.984;4.600;25.411;77,04%
1985;7.098;29.642;4.503;21.805;73,56%
1984;6.850;29.312;4.234;20.508;69,96%
1983;6.255;26.729;3.614;18.303;68,48%
1982;5.616;25.872;3.601;18.320;70,81%
1981;4.861;19.968;3.052;14.549;72,86%
1980;4.636;19.663;3.087;14.533;73,91%
