Fecha;Capacidad instalada MW;Generación GWh;Capacidad instalada renovable MW;Generación renovable GWH;Porcentaje renovable
2023;21053;90427;14298;59651;65,97%
2022;20168;82859;13414;61612;74,36%
2021;19263;84352;12509;63322;75,07%
2020;17845;77759;12384;50797;65,33%
2019;18079;78794;12291;54742;69,48%
2018;18278;78214;12194;59706;76,34%
2017;18154;78477;12071;62076;79,10%
2016;17861;76161;11888;49979;65,62%
2015;17850;77965;11757;49385;63,34%
2014;17197;69060;11154;48625;70,41%
2013;16213;72184;10082;50915;70,53%
2012;15067;60535;9979;48552;80,20%
2011;15098;58920;9940;49438;83,91%
2010;14850;56617;9474;41044;72,49%
2009;14049;55854;9131;41246;73,85%
2008;14009;54958;9111;46537;84,68%
2007;13707;54197;9103;44590;82,27%
2006;13672;52736;9058;42915;81,38%
2005;13637;49347;9032;39964;80,99%
2004;13465;48778;9007;40202;82,42%
2003;13261;45594;8913;36314;79,65%
2002;13865;44073;9157;34125;77,43%
2001;13543;42461;8801;31982;75,32%
2000;12795;42177;8145;32255;76,48%
1999;13224;43159;8574;33861;78,46%
1998;12818;44712;8202;31006;69,35%
1997;14614;44920;8140;31852;70,91%
1996;13514;43709;8055;35632;81,52%
1995;12647;42702;7876;32315;75,68%
1994;12658;40864;7902;32416;79,33%
1993;12185;37584;7695;28113;74,80%
1992;11024;32771;6794;22557;68,83%
1991;9599;36374;6707;27479;75,55%
1990;8849;35651;6608;27522;77,20%
1989;8793;34377;6670;26902;78,26%
1988;9331;32998;7208;24820;75,22%
1987;8523;30637;6317;21581;70,44%
1986;6872;32984;4600;25411;77,04%
1985;7098;29642;4503;21805;73,56%
1984;6850;29312;4234;20508;69,96%
1983;6255;26729;3614;18303;68,48%
1982;5616;25872;3601;18320;70,81%
1981;4861;19968;3052;14549;72,86%
1980;4636;19663;3087;14533;73,91%
